,occupation_field,occupation_name,non-college count,wage/salary
0,MGR,General And Operations Managers,7966,58287.54
1,MGR,Advertising And Promotions Managers,154,37796.1
2,MGR,Marketing And Sales Managers,3641,55970.13
3,MGR,Public Relations And Fundraising Managers,90,46854.44
4,MGR,Administrative Services Managers,1472,48062.61
5,MGR,Computer And Information Systems Managers,1259,68770.35
6,MGR,Financial Managers,6458,45741.76
7,MGR,Compensation And Benefits Managers,71,52138.03
8,MGR,Human Resources Managers,3187,42722.23
9,MGR,Training And Development Managers,299,38249.7
10,MGR,Industrial Production Managers,2939,56110.97
11,MGR,Purchasing Managers,1169,51558.94
12,MGR,"Transportation, Storage, And Distribution Managers",3532,42286.86
13,MGR,"Farmers, Ranchers, And Other Agricultural Managers",20758,14810.69
14,MGR,Construction Managers,9280,45210.59
15,MGR,Education Administrators,2908,30923.25
16,MGR,Architectural And Engineering Managers,357,74814.01
17,MGR,Food Service Managers,14343,26869.28
18,MGR,Gaming Managers,299,35271.57
19,MGR,Lodging Managers,1494,28323.64
20,MGR,Medical And Health Services Managers,2992,39997.55
21,MGR,Natural Sciences Managers,16,38000.0
22,MGR,"Property, Real Estate, And Community Association",6032,34262.44
23,MGR,Social And Community Service Managers,1803,29357.44
24,MGR,Emergency Management Directors,37,41556.76
25,MGR,"Miscellaneous Managers, Including Funeral Service",33384,44866.87
26,BUS,"Agents And Business Managers Of Artists, Performers,",321,27916.88
27,BUS,"Buyers And Purchasing Agents, Farm Products",181,35510.44
28,BUS,"Wholesale And Retail Buyers, Except Farm Products",2961,25508.15
29,BUS,"Purchasing Agents, Except Wholesale, Retail, And Farm",2893,39741.48
30,BUS,"Claims Adjusters, Appraisers, Examiners, And",2431,39672.3
31,BUS,Compliance Officers,1318,41662.64
32,BUS,Cost Estimators,1654,49042.59
33,BUS,Human Resources Workers,4345,39915.88
34,BUS,"Compensation, Benefits, And Job Analysis Specialists",353,39531.25
35,BUS,Training And Development Specialists,997,36534.47
36,BUS,Logisticians,1093,40032.94
37,BUS,Management Analysts,2362,45666.05
38,BUS,"Meeting, Convention, And Event Planners",764,23357.15
39,BUS,Fundraisers,332,16021.78
40,BUS,Market Research Analysts And Marketing Specialists,802,33732.09
41,BUS,"Business Operations Specialists, All Other",1769,37636.66
42,FIN,Accountants And Auditors,4702,31918.08
43,FIN,Appraisers And Assessors Of Real Estate,604,28436.75
44,FIN,Budget Analysts,153,53192.16
45,FIN,Credit Analysts,134,36253.73
46,FIN,Financial Analysts,260,52728.0
47,FIN,Personal Financial Advisors,694,57388.86
48,FIN,Insurance Underwriters,767,42686.3
49,FIN,Financial Examiners,41,41724.39
50,FIN,Credit Counselors And Loan Officers,2219,44579.16
51,FIN,"Tax Examiners And Collectors, And Revenue Agents",615,29340.21
52,FIN,Tax Preparers,1173,13437.96
53,FIN,"Financial Specialists, All Other",346,38262.2
54,CMM,Computer And Information Research Scientists,36,28919.44
55,CMM,Computer Systems Analysts,1262,49568.26
56,CMM,Information Security Analysts,167,65202.4
57,CMM,Computer Programmers,1249,43110.13
58,CMM,"Software Developers, Applications And Systems Software",1570,62512.25
59,CMM,Web Developers,629,25022.91
60,CMM,Computer Support Specialists,3384,39427.68
61,CMM,Database Administrators,386,41067.8
62,CMM,Network And Computer Systems Administrators,835,51497.26
63,CMM,Computer Network Architects,248,80556.85
64,CMM,"Computer Occupations, All Other",2572,45382.71
65,CMM,Operations Research Analysts,428,57078.15
66,CMM,"Miscellaneous Mathematical Science Occupations,",9,31055.56
67,ENG,"Architects, Except Naval",173,38401.62
68,ENG,"Surveyors, Cartographers, And Photogrammetrists",58,45327.59
69,ENG,Aerospace Engineers,184,54723.59
70,ENG,Biomedical And Agricultural Engineers,23,34404.35
71,ENG,Chemical Engineers,109,53755.05
72,ENG,Civil Engineers,639,51730.92
73,ENG,Computer Hardware Engineers,112,57555.98
74,ENG,Electrical And Electronics Engineers,425,58231.06
75,ENG,Environmental Engineers,70,33709.43
76,ENG,"Industrial Engineers, Including Health And Safety",810,49982.84
77,ENG,Marine Engineers And Naval Architects,74,61195.95
78,ENG,Materials Engineers,115,58079.57
79,ENG,Mechanical Engineers,634,54712.97
80,ENG,"Petroleum, Mining And Geological Engineers, Including",151,68863.58
81,ENG,"Miscellaneous Engineers, Including Nuclear Engineers",925,58938.49
82,ENG,Drafters,1060,39381.46
83,ENG,"Engineering Technicians, Except Drafters",5093,41285.11
84,ENG,Surveying And Mapping Technicians,1096,34682.44
85,SCI,Agricultural And Food Scientists,3,26666.67
86,SCI,Biological Scientists,4,32000.0
87,SCI,Conservation Scientists And Foresters,1,48000.0
88,SCI,"Medical Scientists, And Life Scientists, All Other",58,52515.52
89,SCI,Atmospheric And Space Scientists,21,34900.0
90,SCI,Chemists And Materials Scientists,69,79739.13
91,SCI,Environmental Scientists And Geoscientists,4,49975.0
92,SCI,"Physical Scientists, All Other",5,69600.0
93,SCI,Economists,3,23000.0
94,SCI,Psychologists,10,41400.0
95,SCI,Urban And Regional Planners,30,30341.33
96,SCI,"Miscellaneous Social Scientists, Including Survey",105,27514.29
97,SCI,Agricultural And Food Science Technicians,579,32067.84
98,SCI,Biological Technicians,290,28675.52
99,SCI,Chemical Technicians,973,38735.39
100,SCI,"Geological And Petroleum Technicians, And Nuclear",281,57133.13
101,SCI,"Miscellaneous Life, Physical, And Social Science",2121,26492.18
102,CMS,Counselors,3226,17515.55
103,CMS,Social Workers,2849,26475.77
104,CMS,Probation Officers And Correctional Treatment,288,32470.14
105,CMS,Social And Human Service Assistants,1825,21436.54
106,CMS,"Miscellaneous Community And Social Service Specialists,",822,22866.01
107,CMS,Clergy,1993,25156.34
108,CMS,"Directors, Religious Activities And Education",393,21911.37
109,CMS,"Religious Workers, All Other",730,12738.21
110,LGL,"Lawyers, And Judges, Magistrates, And Other Judicial",376,55581.65
111,LGL,Judicial Law Clerks,24,21495.83
112,LGL,Paralegals And Legal Assistants,2215,34997.13
113,LGL,Miscellaneous Legal Support Workers,1652,32610.05
114,EDU,Postsecondary Teachers,1791,23298.42
115,EDU,Preschool And Kindergarten Teachers,4335,13558.47
116,EDU,Elementary And Middle School Teachers,217,41287.56
117,EDU,Secondary School Teachers,42,39109.52
118,EDU,Special Education Teachers,697,19334.75
119,EDU,Other Teachers And Instructors,8105,14202.72
120,EDU,"Archivists, Curators, And Museum Technicians",229,17533.23
121,EDU,Librarians,279,21884.44
122,EDU,Library Technicians,1364,9600.93
123,EDU,Teacher Assistants,21455,14414.34
124,EDU,"Other Education, Training, And Library Workers",501,18483.67
125,ENT,Artists And Related Workers,1888,12596.03
126,ENT,Designers,5427,23146.32
127,ENT,Actors,614,17072.25
128,ENT,Producers And Directors,459,48586.54
129,ENT,"Athletes, Coaches, Umpires, And Related Workers",5089,7816.24
130,ENT,Dancers And Choreographers,416,15172.02
131,ENT,"Musicians, Singers, And Related Workers",2120,12903.95
132,ENT,"Entertainers And Performers, Sports And Related",565,13999.79
133,ENT,Announcers,547,22236.4
134,ENT,"News Analysts, Reporters And Corresponde",180,22419.33
135,ENT,Broadcast And Sound Engineering Technicians And Radio,1094,33312.83
136,ENT,Photographers,1539,12435.58
137,ENT,"Television, Video, And Motion Picture Camera Operators",350,22307.54
138,MED,Chiropractors,38,13860.53
139,MED,Dentists,5,190600.0
140,MED,Dietitians And Nutritionists,637,22287.93
141,MED,Optometrists,1,120000.0
142,MED,Pharmacists,10,54240.0
143,MED,Physicians And Surgeons,111,232396.4
144,MED,Physician Assistants,123,33622.76
145,MED,Podiatrists,1,160000.0
146,MED,Audiologists,16,32512.5
147,MED,Occupational Therapists,42,49338.1
148,MED,Physical Therapists,126,32119.84
149,MED,Radiation Therapists,26,62726.92
150,MED,Recreational Therapists,47,20626.6
151,MED,Respiratory Therapists,117,36031.62
152,MED,Speech,69,34540.29
153,MED,"Other Therapists, Including Exercise Physiologists",252,17424.52
154,MED,Veterinarians,3,74000.0
155,MED,Registered Nurses,2086,38329.5
156,MED,Nurse Anesthetists,18,85905.56
157,MED,"Nurse Practitioners, And Nurse Midwives",37,62189.19
158,MED,"Health Diagnosing And Treating Practitioners, All Other",61,10408.85
159,MED,Clinical Laboratory Technologists And Technicians,1776,27313.39
160,MED,Dental Hygienists,256,32077.38
161,MED,Diagnostic Related Technologists And Technicians,1305,39102.22
162,MED,Emergency Medical Technicians And Paramedics,1530,34035.62
163,MED,Health Practitioner Support Technologists And,6634,25268.7
164,MED,Licensed Practical And Licensed Vocational Nurses,10179,25161.73
165,MED,Medical Records And Health Information Technicians,1942,26655.3
166,MED,"Opticians, Dispensing",891,26902.37
167,MED,Miscellaneous Health Technologists And Technicians,1180,31266.15
168,MED,Other Healthcare Practitioners And Technical,706,41869.09
169,HLS,"Nursing, Psychiatric, And Home Health Aides",46441,16964.99
170,HLS,Occupational Therapy Assistants And Aides,26,21425.38
171,HLS,Physical Therapist Assistants And Aides,370,17173.35
172,HLS,Massage Therapists,1535,13084.36
173,HLS,Dental Assistants,3879,22634.32
174,HLS,Medical Assistants,4892,22048.51
175,HLS,Medical Transcriptionists,593,17153.68
176,HLS,Pharmacy Aides,652,20709.0
177,HLS,Veterinary Assistants And Laboratory Animal Caretakers,779,15282.99
178,HLS,Phlebotomists,1169,23388.85
179,HLS,"Healthcare Support Workers, All Other, Including",3701,17559.46
180,PRT,First,919,38951.95
181,PRT,First,723,48231.11
182,PRT,First,396,49748.23
183,PRT,First,878,35640.98
184,PRT,Firefighters,2640,42711.03
185,PRT,Fire Inspectors,252,36454.6
186,PRT,"Bailiffs, Correctional Officers, And Jailers",7128,37587.93
187,PRT,Detectives And Criminal Investigators,466,50012.66
188,PRT,Miscellaneous Law Enforcement Workers,182,24318.85
189,PRT,Police Officers,4743,43738.99
190,PRT,Animal Control Workers,221,24114.8
191,PRT,Private Detectives And Investigators,414,31509.32
192,PRT,Security Guards And Gaming Surveillance Officers,18682,21350.82
193,PRT,Crossing Guards,2202,12302.18
194,PRT,Transportation Security Screeners,364,32482.83
195,PRT,"Lifeguards And Other Recreational, And All Other",8916,3492.27
196,EAT,Chefs And Head Cooks,6325,23715.78
197,EAT,First,11231,19348.13
198,EAT,Cooks,71082,11376.67
199,EAT,Food Preparation Workers,27710,8614.54
200,EAT,Bartenders,6513,14813.97
201,EAT,"Combined Food Preparation And Serving Workers,",12034,9313.53
202,EAT,"Counter Attendants, Cafeteria, Food Concession, And",7885,4815.74
203,EAT,Waiters And Waitresses,45916,9757.81
204,EAT,"Food Servers, Nonrestaurant",5029,12601.11
205,EAT,Miscellaneous Food Preparation And Serving Related,11298,7697.85
